collected_at,city,published_date,source_name,source_title,source_url,review_status,review_note
2026-08-30T12:56:34+00:00,新竹縣,2026-08-28,蕃新聞,邁向「文化治縣」找回城市光榮感 林國漳發表「文化立縣2.0」五大綱領 - 蕃新聞,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBTWWo0WHhJXzJvMTVhQ2xDQThhdEVRWEU1N2dqaHItMHFoRUp6bmJFbFJhTWZkeW0xb1d4amo5elJUTW9uWVdUZlZsdkVCRTF4dXc?oc=5,rejected,誤分縣市：內容為宜蘭縣長參選人林國漳。
2026-08-30T12:56:34+00:00,新竹縣,2026-08-15,自由時報,讓苗栗的龍走向世界！林月琴提4大文化政見：打造「貓裏文化祭」 - 自由時報,https://news.google.com/rss/articles/CBMiakFVX3lxTE9mYnZuT3VJTWlwNjF4ZXlnWFRtVGhjN091dFJualgycHhSLXhiSDRZYkFXYk1XczZCM1R6TlY4eWlaUVNUUVlEWTVBdWVpOERPYnQ5MllLd3p6a0tnZEVtcHUzMXhCWHBTQ1E?oc=5,pending,
2026-08-30T12:56:34+00:00,苗栗縣,2026-08-16,自由時報,立委林月琴選苗栗市長推動祭典學堂- 生活 - 自由時報,https://news.google.com/rss/articles/CBMiW0FVX3lxTE5tR2ViR25RUVQ0YzVqWThleG84Vm50dnVpVUplZ3FjTjJ6bjRhZ0tTeXZEUnVxemVFRlB6WUhsV1R6NEExa2VDY21iQTAzVllhd0VWRDNDeTVWOE0?oc=5,pending,
2026-08-30T12:56:34+00:00,臺中市,2026-08-29,自由時報,北屯參加親子嗨翻泡泡派對 陳信秀喊「讓年輕人敢生、養得起」 - 自由時報,https://news.google.com/rss/articles/CBMib0FVX3lxTE1oOXVZRzQ4dFVvMFZvZWQ0VmxpUm5yRnF5VE0xRjJSalJxejRQSGdLaHBTc0dVZklXU1RHUFE4QXp0TGEtQTlUYXlfQUtTSHVfOTdVa2QtQVRfU0dfUWRjcktuRGlpVU41ZmRmd1dSSQ?oc=5,rejected,非文化政見，且同來源重複蒐集。
2026-08-30T12:56:34+00:00,臺中市,2026-08-29,自由時報,北屯參加親子嗨翻泡泡派對 陳信秀喊「讓年輕人敢生、養得起」 - 自由時報,https://news.google.com/rss/articles/CBMib0FVX3lxTFBwVGVVUy1mUl85VW1sRGNqVkloRGc3cVJpZGM0UDdjMVlaQ0NoNEhwMW90NUdVeV9uU2tURTcxYnN1QTY3Y0cxeXNWMGdrSDFaa3N5cmpnbFBkTnpubk1McXpxaWROaWdGcjZPVk9yVQ?oc=5,rejected,非文化政見，且同來源重複蒐集。
2026-08-30T12:56:34+00:00,彰化縣,2026-08-15,LINE TODAY,立委林月琴選苗栗市長 推動祭典學堂 | 自由電子報 - LINE TODAY,https://news.google.com/rss/articles/CBMiVkFVX3lxTE5KdTlJaVgzU3l0OF95X3ItWGU2N2U5RXYxY3dlaDhmcklmUmpnblpiZDFZMnlMVXh4aXl3d0RYbWFhRExFSU9KVVhGbW00Z3Vwc2NNbXdB?oc=5,pending,
2026-08-30T12:56:34+00:00,南投縣,2026-08-28,Storm.mg,「2026南投學研討會：南投客蹤新聲」登場從歷史記憶走向文化永續與地方發展| 王秀禾 | 地方新聞 - Storm.mg,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9VS2N5bURvV1dhZmpDSmRLQ01BQ0JXak1jcVhRTFdNVFNMcV8zeGM3ZnRNWTA2c1dHRzNRQkNyMWZPTVJ3d0dUQkhxMndvUQ?oc=5,pending,
2026-08-30T12:56:34+00:00,雲林縣,2026-08-28,蕃新聞,張嘉郡提「雲林美術館」政見 拜會盧秀燕取經：借鏡台中綠美圖打造文化新地標 - 蕃新聞,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1lQTM2dEpEeE1EQTVMLVBIdHF5NkFaSHVndEFFUWJDLW1nNjJXNXY5UmVTUFl5eHRNOWdoeGtXUW1mRm9KbjZQMFc5WXVvdktxc3c?oc=5,rejected,已收錄：同一政見的轉載，既有條目已保留來源。
2026-08-30T12:56:34+00:00,雲林縣,2026-08-20,上報Up Media,張嘉郡拚勝選！接棒張麗善續推30項建設盼「讓下一代擁有更好的雲林」 - 上報Up Media,https://news.google.com/rss/articles/CBMiXkFVX3lxTE9iQzZ3UnkwQm1qY3Q1SUZEN28xbGVWMU02TzlGcTBsS0dYRS0wTzZKcXV6SzV6UUEtakRnbDYtRWhsNnRHbXRYdEhDZTZyZ0FvM01YM2hfQlUwWEhkeFE?oc=5,rejected,已收錄：內容補充已併入張嘉郡「雲林美術館」政見。
2026-08-30T12:56:34+00:00,雲林縣,2026-08-20,Life 生活網,張嘉郡拚勝選！接棒張麗善續推30項建設盼「讓下一代擁有更好的雲林」 - Life 生活網,https://news.google.com/rss/articles/CBMihANBVV95cUxPOGllVTRzNGs3X1hSN2lCS0c3aVRHTU5FeUNQc24tYmF0bjBpSTlITXhHRjFkMzB2TnZDOW5NenlYUXNrMzlNTmdiWWpCRndZSDkzSVhGcHpTWnlRaWVkRlJSN0lqaVdyRDg3ZjlaSlMtanFJeVEtN2lQclRRYUhJRXpDR3JfWXB5ajd6NHg0dTRlcU1DLVp4N0lKMU92X2I3VUtmelhXRnYtUWNMa2preEI4b1M2RVRKQ1dndEE2MVloWlB6Um1RcnhhLVRlZXVzYjZLcWtHZHRaWmNob1FMa3d3UnJDWDl6WjNGTld6dm92SHRMMjhzaXo1TktyZnlFM0xnUEhvYkdvaWE2Z2xFTUlmWjduUnpHTUpkN2dPWDAzcTVYeUdGc09iNUQ1THNEVEcwbE5xUWF3LTlScHZBaU9XQWEzMnptUmxkWm1kd2dhaXBLYXlJajh6OEZudkJOX09vZksyVEl1OTdnYUJETUNUS2xNNGJmSElZbDZZZ01LU1pj?oc=5,rejected,已收錄：內容補充已併入張嘉郡「雲林美術館」政見。
2026-08-30T12:56:34+00:00,嘉義縣,2026-07-20,Life 生活網,豐年節舉牌遭警帶走 魏嘉賢籲檢討活動定位、尊重原民主體性 - Life 生活網,https://news.google.com/rss/articles/CBMiggNBVV95cUxPWXowMk9hVXNxSGVJaW1jZnhLNWxFQjVhSEVWdmpwRXd2Wm1vcmRzZENUNDY4aFNOSFZvc3dndGVSSkZGSVl4al9RSkhZeTRNVDFHWjdlMGRYQUNJYjJJVHBBa082LUZWUUZzRzNJTGljWmVCM3prNmpxa3JvX3JXRHMyWWQyNk1DVTVEaXpkRnNJdWNtd3FxU2hjMnpJcE13Yy03Z3BBX1VsclF0VTR3bm9mazNBa0ZOalhkTElhMkUtRnhJbHdmdlM0NzZ3MzNVNDJrOWRSa0VjQWVyNUZzSF9WTTY5Um9ra0tvNHlwX1NvaVZkUmRoeUo1VVpxYkptMXhBMHBvdHItWlhUSXdNRi1uazJKc1lpSUF2aWFYd083MnV4Tk16MjYwSjV0VU9OX0o5ZEV0RDhXYWVLTlZaaXBuTFFtbkQ2ZTl4Z3RRT2M5dVRNT0xRYnFQSTVadGNjRHdwZVhBbUhJQzNYaDJlMzRqQVByaUFYSUpadk0ydy1JQQ?oc=5,rejected,誤分縣市：內容為花蓮縣。
2026-08-30T12:56:34+00:00,臺南市,2026-08-15,LINE TODAY,讓苗栗的龍走向世界！林月琴提4大文化政見：打造「貓裏文化祭」 | 自由電子報 - LINE TODAY,https://news.google.com/rss/articles/CBMiVkFVX3lxTE9OaWkwSnBYWlpRSTR5QnZ3c2JXMlY0Ty05c2JXZEJLYnZDaHcwTlMwbUU2bjdVYWtmQXB2VFNwUnNMZGQxU2RRVDg4SFpENjNwWC1GSWJn?oc=5,pending,
