city,electoral_district,candidate,party,registration_date_roc,incumbent,roster_status,source_title,source_url,source_date
南投縣,南投縣第2選舉區,林友友,無黨籍,115/09/04,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第2選舉區,林昆熠,中國國民黨,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第2選舉區,洪宗呈,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第2選舉區,洪巧娟,民主進步黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第2選舉區,簡峻庭,無黨籍,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第2選舉區,簡百聰,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第2選舉區,莊士傑,無黨籍,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第2選舉區,蔡銘軒,民主進步黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第3選舉區,王秋淑,民主進步黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第3選舉區,蕭志全,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第3選舉區,謝明謀,中國國民黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第3選舉區,陳淑惠,中國國民黨,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第3選舉區,黃春麟,中國國民黨,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第3選舉區,黃馨瑩,無黨籍,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,何勝豐,無黨籍,115/08/31,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,劉子維,中國國民黨,115/09/04,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,李廣演,勞動黨,115/08/31,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,林哲生,無黨籍,115/09/01,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,蔡易呈,中國國民黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,許耿禎,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,邱如平,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,陳玉鈴,民主進步黨,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第4選舉區,黃丹怡,無黨籍,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,吳維倫,無黨籍,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,廖崑堯,民主進步黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,戴世詮,無黨籍,115/08/31,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,林奕辰,無黨籍,115/09/03,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,林芳伃,中國國民黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,羅俞欣,中國國民黨,115/08/31,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,蘇昱誠,民主進步黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
南投縣,南投縣第5選舉區,許文忠,勞動黨,115/09/02,,已完成登記，待中選會審定,115年縣市議員選舉候選人登記概況彙總表（8月31日-9月4日）,https://web.cec.gov.tw/api/file/7e8c733d-8d57-418d-bed9-f35bf2dc68e6.pdf,2026-09-04
